type;dwt;year;country;date;price
2;75527;2010;2;20.01.2023;13 750 000
2;63118;2015;1;20.01.2023;24 500 000
2;61500;2012;3;20.01.2023;20 950 000
2;76225;2005;3;30.01.2023;10 500 000
2;60300;2015;3;30.01.2023;24 300 000
3;58105;2010;1;30.01.2023;15 800 000
1;179816;2014;1;10.02.2023;34 000 000
2;82217;2010;1;10.02.2023;19 400 000
2;81508;2009;3;10.02.2023;19 800 000
2;75511;2007;2;10.02.2023;13 800 000
2;63614;2020;1;10.02.2023;30 600 000
3;58100;2010;1;10.02.2023;15 800 000
3;56988;2010;1;10.02.2023;13 000 000
3;56811;2011;1;10.02.2023;12 500 000
3;38947;2015;1;10.02.2023;18 500 000
2;63379;2016;3;22.02.2023;27 900 000
2;61498;2012;3;22.02.2023;21 000 000
3;56531;2013;1;22.02.2023;15 000 000
3;56425;2013;1;22.02.2023;15 000 000
3;36260;2011;2;22.02.2023;13 900 000
2;81323;2011;2;27.02.2023;20 500 000
3;58790;2007;1;27.02.2023;14 100 000
3;38709;2015;1;27.02.2023;19 900 000
3;38300;2012;3;27.02.2023;13 500 000
3;57696;2010;1;01.03.2023;14 800 000
3;39202;2015;1;01.03.2023;20 000 000
3;37405;2013;2;01.03.2023;16 200 000
3;37227;2014;1;01.03.2023;16 300 000
3;36900;2015;3;01.03.2023;20 700 000
3;35112;2011;1;01.03.2023;10 300 000
2;82259;2013;1;03.03.2023;20 700 000
2;77113;2015;3;03.03.2023;26 000 000
2;75003;2012;3;03.03.2023;22 500 000
2;74432;2005;1;03.03.2023;10 500 000
2;73593;2007;1;03.03.2023;12 600 000
2;63590;2017;3;03.03.2023;30 000 000
2;61131;2019;1;03.03.2023;32 000 000
3;57295;2011;1;03.03.2023;13 500 000
3;57000;2010;1;03.03.2023;11 200 000
3;56582;2015;1;03.03.2023;15 300 000
3;53477;2009;1;03.03.2023;11 500 000
3;39763;2014;1;03.03.2023;20 500 000
3;38278;2011;3;03.03.2023;15 250 000
3;56098;2013;3;10.03.2023;20 000 000
3;38225;2011;3;10.03.2023;17 200 000
2;81652;2012;1;13.03.2023;19 800 000
2;78020;2015;3;13.03.2023;26 000 000
2;76596;2007;3;13.03.2023;14 500 000
2;61606;2019;1;13.03.2023;32 000 000
3;58126;2010;1;13.03.2023;15 500 000
3;57022;2010;1;13.03.2023;13 500 000
3;53600;2007;1;13.03.2023;9 900 000
3;43389;2016;1;13.03.2023;23 200 000
3;58018;2010;1;15.03.2023;14 800 000
1;179023;2012;1;20.03.2023;27 800 000
1;178733;2012;1;20.03.2023;27 800 000
1;176943;2008;3;20.03.2023;22 700 000
1;169333;2009;2;20.03.2023;23 000 000
1;169232;2009;2;20.03.2023;23 000 000
2;82951;2006;3;20.03.2023;15 000 000
2;63614;2020;1;20.03.2023;30 000 000
2;63229;2016;1;20.03.2023;26 500 000
2;61148;2019;1;20.03.2023;32 000 000
2;61139;2019;1;20.03.2023;32 000 000
3;58785;2007;1;20.03.2023;14 400 000
3;57811;2015;1;20.03.2023;23 100 000
3;57275;2011;1;20.03.2023;14 900 000
3;39757;2014;1;20.03.2023;20 500 000
3;39049;2014;1;20.03.2023;20 500 000
3;38232;2015;1;20.03.2023;20 000 000
2;76662;2005;3;28.03.2023;14 000 000
2;75658;2012;1;28.03.2023;17 100 000
3;58773;2009;1;28.03.2023;16 000 000
3;58120;2012;1;28.03.2023;19 000 000
3;57255;2010;2;28.03.2023;17 000 000
1;179678;2011;1;31.03.2023;32 500 000
1;179546;2011;1;31.03.2023;32 500 000
1;177029;2010;1;31.03.2023;23 000 000
3;57686;2013;1;31.03.2023;16 000 000
3;56628;2011;3;31.03.2023;18 700 000
3;35045;2012;1;31.03.2023;17 750 000
3;57970;2011;1;03.04.2023;16 500 000
3;57075;2011;1;03.04.2023;14 500 000
3;57038;2010;1;03.04.2023;13 000 000
3;57011;2010;1;03.04.2023;14 500 000
3;56838;2010;1;03.04.2023;13 700 000
3;36920;2015;3;03.04.2023;22 500 000
3;36045;2011;2;03.04.2023;16 400 000
3;35925;2010;1;03.04.2023;10 900 000
3;35853;2011;1;03.04.2023;13 450 000
1;178929;2012;2;11.04.2023;28 500 000
1;176943;2008;3;11.04.2023;23 000 000
3;58107;2010;1;11.04.2023;18 000 000
3;57970;2011;1;11.04.2023;16 500 000
3;57450;2013;1;11.04.2023;15 520 000
3;57011;2010;1;11.04.2023;14 300 000
3;56536;2012;1;11.04.2023;14 800 000
1;177832;2010;1;24.04.2023;24 500 000
2;81920;2015;1;24.04.2023;28 200 000
2;76529;2008;3;24.04.2023;15 000 000
2;76037;2012;1;24.04.2023;18 000 000
2;75843;2009;3;24.04.2023;18 100 000
2;63672;2013;1;24.04.2023;23 500 000
2;63250;2014;1;24.04.2023;24 500 000
2;62167;2015;1;24.04.2023;15 500 000
2;61330;2014;3;24.04.2023;26 700 000
2;61211;2022;1;24.04.2023;34 500 000
3;57970;2011;1;24.04.2023;16 500 000
3;57307;2009;1;24.04.2023;14 000 000
3;56686;2013;1;24.04.2023;15 800 000
3;55600;2009;3;24.04.2023;16 800 000
3;37384;2018;1;24.04.2023;21 400 000
2;62614;2020;1;03.05.2023;30 300 000
2;61456;2011;3;03.05.2023;22 500 000
3;56877;2010;1;03.05.2023;13 200 000
3;53393;2006;1;03.05.2023;11 000 000
1;178050;2010;1;10.05.2023;25 500 000
2;106668;2011;1;10.05.2023;24 600 000
2;81800;2013;1;10.05.2023;21 800 000
2;78450;2011;3;10.05.2023;20 500 000
2;75081;2011;1;10.05.2023;17 200 000
2;63155;2014;1;10.05.2023;24 900 000
2;63000;2016;3;10.05.2023;30 000 000
3;56868;2011;1;10.05.2023;15 100 000
3;56771;2012;1;10.05.2023;15 700 000
3;56604;2010;1;10.05.2023;14 000 000
3;55700;2009;3;10.05.2023;16 000 000
3;38218;2012;3;10.05.2023;18 300 000
3;36920;2015;3;10.05.2023;22 500 000
2;81426;2009;3;17.05.2023;21 000 000
2;80900;2013;1;17.05.2023;22 800 000
2;79450;2012;1;17.05.2023;17 600 000
2;79450;2011;1;17.05.2023;16 600 000
2;79450;2012;1;17.05.2023;17 600 000
2;79450;2011;1;17.05.2023;16 600 000
3;35253;2009;1;17.05.2023;10 800 000
1;178120;2009;1;22.05.2023;23 500 000
2;93313;2009;1;22.05.2023;16 300 000
2;82297;2013;1;22.05.2023;20 000 000
2;81800;2013;1;22.05.2023;22 900 000
2;66604;2015;3;22.05.2023;26 800 000
3;53571;2008;1;22.05.2023;11 000 000
3;38090;2013;3;22.05.2023;19 600 000
2;63270;2018;1;30.05.2023;28 100 000
2;63153;2018;1;30.05.2023;28 100 000
3;56811;2011;1;30.05.2023;14 200 000
3;55701;2009;3;30.05.2023;15 900 000
3;53631;2009;1;30.05.2023;12 900 000
3;43368;2017;1;30.05.2023;24 500 000
2;61056;2019;1;07.06.2023;30 030 000
3;57000;2011;1;07.06.2023;16 800 000
3;56300;2012;1;07.06.2023;17 100 000
3;56300;2012;1;07.06.2023;17 100 000
3;55888;2014;3;07.06.2023;21 700 000
1;178459;2011;3;13.06.2023;30 000 000
2;76361;2011;3;13.06.2023;17 700 000
2;61266;2017;3;13.06.2023;29 200 000
3;57700;2016;3;13.06.2023;24 100 000
3;55861;2013;3;13.06.2023;21 000 000
3;36228;2016;3;13.06.2023;22 500 000
3;56987;2009;1;15.06.2023;13 000 000
3;56957;2009;1;15.06.2023;13 000 000
3;56907;2009;1;15.06.2023;13 000 000
3;56056;2009;1;15.06.2023;13 000 000
3;38055;2012;3;15.06.2023;16 000 000
2;81112;2018;1;20.06.2023;28 500 000
2;80700;2010;2;20.06.2023;17 500 000
2;66637;2015;3;20.06.2023;27 000 000
3;57592;2012;2;20.06.2023;19 000 000
3;56097;2013;3;20.06.2023;19 800 000
3;53800;2006;1;20.06.2023;11 000 000
3;35000;2012;1;20.06.2023;12 600 000
1;175975;2011;1;24.06.2023;22 800 000
2;83456;2011;3;24.06.2023;18 600 000
2;81895;2016;1;24.06.2023;26 500 000
2;81354;2012;2;24.06.2023;23 500 000
2;63800;2014;1;24.06.2023;23 600 000
2;63270;2019;1;24.06.2023;27 500 000
2;63206;2019;1;24.06.2023;27 500 000
3;55701;2009;3;24.06.2023;15 300 000
1;179800;2011;1;28.06.2023;24 000 000
2;81600;2019;1;28.06.2023;32 000 000
2;81139;2019;1;28.06.2023;28 760 000
2;81107;2019;1;28.06.2023;30 000 000
2;78090;2012;3;28.06.2023;19 500 000
2;64012;2018;1;28.06.2023;28 000 000
2;61100;2019;1;28.06.2023;28 900 000
3;37985;2016;1;28.06.2023;19 700 000
3;37302;2010;1;28.06.2023;12 800 000
3;36170;2015;3;28.06.2023;21 500 000
1;179656;2015;1;07.07.2023;36 500 000
2;95709;2011;3;07.07.2023;22 000 000
2;82551;2006;3;07.07.2023;13 700 000
2;81096;2019;1;07.07.2023;30 150 000
2;79500;2011;1;07.07.2023;14 000 000
2;77134;2014;3;09.07.2023;23 100 000
2;76948;2007;3;09.07.2023;13 200 000
2;76812;2005;3;09.07.2023;13 000 000
2;63900;2017;1;09.07.2023;17 300 000
2;63696;2015;1;09.07.2023;24 500 000
3;58000;2013;1;09.07.2023;17 800 000
3;56838;2010;1;11.07.2023;12 500 000
3;56058;2007;3;11.07.2023;12 500 000
3;53208;2009;1;11.07.2023;10 000 000
3;50806;2010;3;11.07.2023;16 000 000
3;37976;2016;1;11.07.2023;19 360 000
3;37775;2015;3;11.07.2023;20 500 000
3;35000;2015;1;11.07.2023;16 500 000
1;178100;2009;1;22.07.2023;18 900 000
2;77211;2014;3;27.07.2023;19 600 000
3;57016;2010;1;27.07.2023;10 900 000
3;53808;2007;1;27.07.2023;10 500 000
1;176827;2009;3;31.07.2023;21 000 000
2;76286;2005;3;31.07.2023;14 900 000
3;55865;2015;3;31.07.2023;22 600 000
3;37059;2013;3;31.07.2023;17 000 000
1;176000;2011;1;02.08.2023;23 000 000
1;175800;2012;1;02.08.2023;24 750 000
2;106498;2010;3;06.08.2023;20 500 000
2;95720;2012;3;06.08.2023;22 000 000
2;93400;2010;1;06.08.2023;16 750 000
2;93400;2010;1;06.08.2023;16 750 000
2;82224;2015;3;06.08.2023;21 800 000
2;82224;2013;3;06.08.2023;17 500 000
2;82079;2018;3;08.08.2023;31 800 000
2;64499;2020;3;08.08.2023;32 000 000
2;63510;2017;1;08.08.2023;27 000 000
2;60436;2016;3;08.08.2023;24 000 000
3;56135;2012;3;08.08.2023;18 200 000
3;55975;2008;3;08.08.2023;13 200 000
3;55757;2014;3;08.08.2023;24 000 000
3;45429;2017;1;08.08.2023;22 000 000
3;38500;2011;3;08.08.2023;15 000 000
3;37983;2016;1;12.08.2023;17 800 000
3;37896;2016;1;12.08.2023;17 700 000
3;37845;2018;1;12.08.2023;20 000 000
3;35853;2011;1;12.08.2023;12 500 000
3;35256;2010;1;12.08.2023;9 500 000
3;56868;2010;1;28.08.2023;11 200 000
3;53468;2006;3;28.08.2023;9 700 000
2;82338;2009;3;06.09.2023;15 750 000
2;81846;2015;1;06.09.2023;26 700 000
2;61430;2013;3;06.09.2023;20 800 000
2;61424;2013;3;06.09.2023;20 000 000
2;61271;2014;3;06.09.2023;23 500 000
3;58018;2010;1;06.09.2023;12 200 000
3;52450;2006;1;06.09.2023;9 250 000
3;39758;2015;1;06.09.2023;19 500 000
3;37202;2011;3;06.09.2023;15 400 000
3;35214;2011;1;06.09.2023;10 600 000
2;74849;2011;1;10.09.2023;15 000 000
3;58723;2012;3;10.09.2023;19 500 000
3;58089;2009;1;10.09.2023;14 600 000
3;56676;2008;3;10.09.2023;13 000 000
3;37072;2014;3;10.09.2023;16 700 000
1;174802;2011;3;16.09.2023;23 500 000
2;95707;2012;3;16.09.2023;22 000 000
2;82146;2013;1;16.09.2023;22 000 000
2;61221;2018;3;16.09.2023;27 000 000
3;57016;2010;1;16.09.2023;10 800 000
3;56047;2008;3;16.09.2023;14 000 000
3;55857;2016;3;16.09.2023;22 000 000
3;39784;2015;1;16.09.2023;19 500 000
3;37732;2017;3;16.09.2023;24 000 000
3;35239;2009;1;16.09.2023;9 100 000
1;175879;2009;1;26.09.2023;18 800 000
2;82177;2012;1;26.09.2023;21 000 000
2;75214;2008;1;26.09.2023;12 400 000
3;58018;2012;1;26.09.2023;12 700 000
3;57017;2010;1;26.09.2023;11 500 000
3;56851;2011;1;26.09.2023;13 100 000
3;52458;2005;1;26.09.2023;8 600 000
3;38494;2012;3;26.09.2023;14 500 000
3;37852;2010;1;26.09.2023;9 500 000
3;37067;2013;3;26.09.2023;16 800 000
3;35064;2012;2;26.09.2023;14 500 000
2;74940;2012;3;30.09.2023;20 000 000
3;58470;2010;1;30.09.2023;15 200 000
3;58068;2015;3;30.09.2023;21 100 000
3;39836;2015;1;30.09.2023;19 500 000
1;178462;2011;3;03.10.2023;26 000 000
2;81649;2012;1;03.10.2023;20 000 000
2;76602;2005;3;03.10.2023;10 100 000
2;63064;2014;1;03.10.2023;22 000 000
2;61438;2012;3;03.10.2023;20 500 000
1;175366;2010;1;07.10.2023;21 200 000
2;82830;2013;3;07.10.2023;23 800 000
2;82146;2014;1;07.10.2023;20 000 000
3;57334;2009;2;07.10.2023;15 000 000
3;57239;2012;2;07.10.2023;16 500 000
1;177827;2007;1;10.10.2023;18 000 000
1;175886;2009;1;10.10.2023;18 200 000
2;82206;2022;1;10.10.2023;32 500 000
3;53828;2008;1;10.10.2023;9 500 000
3;35212;2011;1;10.10.2023;11 000 000
1;176505;2011;1;13.10.2023;26 000 000
2;63608;2015;1;14.10.2023;23 500 000
2;82224;2013;3;20.10.2023;23 000 000
2;76636;2008;3;20.10.2023;14 000 000
2;76596;2009;3;20.10.2023;15 500 000
2;76529;2009;3;20.10.2023;15 750 000
2;75674;2007;3;20.10.2023;12 200 000
2;61250;2016;3;20.10.2023;26 800 000
3;55903;2006;3;20.10.2023;11 000 000
3;55709;2006;3;20.10.2023;11 500 000
3;38218;2012;3;20.10.2023;16 000 000
2;82372;2009;3;25.10.2023;16 200 000
2;82338;2008;3;25.10.2023;15 300 000
2;61311;2014;3;25.10.2023;24 000 000
3;58020;2010;1;25.10.2023;13 650 000
2;81005;2014;3;30.10.2023;27 400 000
2;75000;2012;1;30.10.2023;16 000 000
2;61444;2013;3;30.10.2023;21 100 000
2;61166;2019;1;30.10.2023;29 400 000
3;52514;2005;1;30.10.2023;9 800 000
3;46029;2005;3;30.10.2023;11 100 000
1;177456;2007;3;31.10.2023;18 500 000
3;36845;2012;2;31.10.2023;16 000 000
3;56056;2005;3;06.11.2023;11 100 000
3;56025;2013;3;06.11.2023;20 000 000
3;55705;2006;3;06.11.2023;11 100 000
3;38872;2015;1;06.11.2023;16 800 000
3;35039;2012;2;06.11.2023;14 200 000
2;76431;2013;1;08.11.2023;15 800 000
2;61472;2011;3;08.11.2023;18 900 000
3;57005;2010;1;08.11.2023;12 800 000
3;55581;2011;3;10.11.2023;17 250 000
3;38593;2019;1;10.11.2023;26 000 000
3;36193;2017;1;10.11.2023;20 200 000
2;76838;2005;3;16.11.2023;11 800 000
2;76596;2005;3;16.11.2023;11 700 000
2;76431;2013;1;16.11.2023;15 750 000
2;63939;2018;1;16.11.2023;25 500 000
2;63339;2014;1;16.11.2023;21 500 000
3;58786;2008;3;16.11.2023;13 800 000
3;58717;2013;3;16.11.2023;19 500 000
3;57075;2011;1;16.11.2023;12 500 000
3;57005;2010;1;16.11.2023;12 800 000
2;83610;2008;3;20.11.2023;16 300 000
2;82000;2023;1;20.11.2023;37 000 000
3;53490;2005;3;20.11.2023;8 500 000
2;82295;2006;3;22.11.2023;14 000 000
2;81841;2015;3;22.11.2023;28 000 000
2;76602;2005;3;22.11.2023;10 700 000
2;63371;2015;1;22.11.2023;23 800 000
3;58680;2012;1;22.11.2023;19 000 000
3;58677;2009;1;22.11.2023;14 500 000
3;52525;2006;1;22.11.2023;9 350 000
3;38243;2012;3;22.11.2023;15 350 000
2;82315;2023;1;05.12.2023;38 300 000
2;81541;2020;1;05.12.2023;30 500 000
2;81541;2020;1;05.12.2023;30 500 000
2;63527;2015;1;05.12.2023;23 000 000
3;57959;2012;1;05.12.2023;19 000 000
3;43368;2017;1;05.12.2023;23 000 000
2;93492;2007;3;08.01.2024;14 000 000
2;92500;2010;1;08.01.2024;12 800 000
2;88270;2010;3;08.01.2024;17 200 000
2;87340;2011;1;08.01.2024;17 000 000
2;82012;2015;1;08.01.2024;26 600 000
2;81963;2013;1;08.01.2024;19 500 000
2;81517;2016;1;08.01.2024;22 600 000
2;61473;2016;1;08.01.2024;26 000 000
2;61452;2016;1;08.01.2024;26 000 000
2;61438;2012;3;08.01.2024;19 800 000
3;57480;2012;2;08.01.2024;16 500 000
3;57305;2009;2;08.01.2024;13 200 000
3;56618;2011;1;08.01.2024;11 800 000
2;83688;2009;3;12.01.2024;16 200 000
2;83601;2010;3;12.01.2024;17 600 000
2;81027;2015;1;12.01.2024;24 500 000
3;58163;2009;1;12.01.2024;15 500 000
3;53468;2006;3;12.01.2024;10 500 000
3;43477;2017;1;12.01.2024;23 000 000
3;43457;2017;1;12.01.2024;23 000 000
3;36309;2015;3;12.01.2024;17 100 000
1;175366;2010;1;16.01.2024;54 250 000
3;55989;2009;3;16.01.2024;14 500 000
3;55989;2009;3;16.01.2024;14 500 000
3;55638;2007;3;16.01.2024;13 800 000
3;55444;2009;3;16.01.2024;14 500 000
2;63541;2016;1;23.01.2024;23 800 000
2;63527;2016;1;23.01.2024;23 800 000
3;56616;2011;1;23.01.2024;12 400 000
3;56603;2011;1;23.01.2024;12 400 000
3;56056;2006;3;23.01.2024;12 500 000
2;93296;2010;1;26.01.2024;15 500 000
2;83416;2010;3;26.01.2024;17 500 000
2;75000;2012;1;26.01.2024;16 000 000
3;57000;2011;1;26.01.2024;12 800 000
3;56591;2014;1;26.01.2024;16 000 000
3;56025;2013;3;26.01.2024;18 700 000
3;55884;2014;3;26.01.2024;22 000 000
3;37064;2012;2;26.01.2024;16 400 000
3;56907;2011;1;27.01.2024;12 800 000
3;56670;2012;1;27.01.2024;13 200 000
2;76942;2006;3;31.01.2024;13 000 000
2;63562;2019;1;31.01.2024;7 000 000
3;56897;2010;1;31.01.2024;12 100 000
1;179223;2009;2;07.02.2024;23 000 000
1;177775;2010;1;07.02.2024;26 000 000
1;176552;2011;1;07.02.2024;27 000 000
1;176536;2011;1;07.02.2024;26 300 000
1;176403;2011;1;07.02.2024;26 000 000
1;174109;2007;1;07.02.2024;20 000 000
2;93238;2010;1;07.02.2024;13 000 000
2;93225;2011;1;07.02.2024;14 900 000
2;93168;2011;1;07.02.2024;15 200 000
2;93077;2010;1;07.02.2024;15 450 000
2;91567;2019;1;07.02.2024;31 250 000
2;82235;2016;3;07.02.2024;28 600 000
2;78833;2010;3;07.02.2024;16 100 000
2;77283;2008;3;07.02.2024;14 100 000
2;76619;2010;3;07.02.2024;15 800 000
2;63566;2019;1;07.02.2024;30 300 000
1;176552;2011;1;07.02.2024;27 000 000
2;61464;2012;3;09.02.2024;21 000 000
3;58064;2011;3;09.02.2024;17 500 000
3;56788;2008;1;09.02.2024;9 800 000
3;56726;2011;1;09.02.2024;13 000 000
3;55975;2014;3;09.02.2024;22 000 000
3;55816;2014;3;09.02.2024;22 000 000
3;53600;2010;1;09.02.2024;11 000 000
3;37205;2014;1;09.02.2024;15 400 000
2;82790;2006;3;09.02.2024;12 200 000
2;104990;2011;1;14.02.2024;16 500 000
2;82936;2005;3;14.02.2024;13 300 000
2;82849;2006;3;14.02.2024;12 650 000
2;76596;2008;3;14.02.2024;12 500 000
2;76015;2005;3;14.02.2024;12 200 000
3;55430;2008;3;14.02.2024;14 500 000
1;177736;2008;1;20.02.2024;22 600 000
2;80282;2010;2;20.02.2024;16 200 000
2;76729;2006;3;20.02.2024;13 200 000
2;75321;2013;1;20.02.2024;16 800 000
2;63064;2014;1;20.02.2024;22 100 000
2;61299;2014;3;20.02.2024;24 800 000
2;61225;2017;3;20.02.2024;31 000 000
3;56755;2010;1;20.02.2024;10 800 000
3;39830;2020;3;20.02.2024;28 000 000
3;38302;2013;3;20.02.2024;18 100 000
1;175181;2011;1;25.02.2024;26 000 000
2;95731;2012;3;25.02.2024;21 000 000
2;60935;2015;3;25.02.2024;28 700 000
3;56507;2013;1;25.02.2024;16 500 000
3;56100;2013;3;25.02.2024;20 100 000
3;55612;2011;3;25.02.2024;17 800 000
3;38215;2013;3;25.02.2024;18 200 000
1;177729;2009;1;28.02.2024;23 100 000
2;81922;2017;1;28.02.2024;31 600 000
3;39989;2018;1;28.02.2024;25 200 000
3;36228;2017;3;28.02.2024;24 000 000
1;177003;2007;3;02.03.2024;25 000 000
1;175155;2011;1;02.03.2024;26 000 000
1;175125;2011;1;02.03.2024;27 300 000
2;93039;2010;1;02.03.2024;16 500 000
2;81541;2020;1;02.03.2024;33 500 000
2;63733;2023;3;02.03.2024;40 500 000
2;63308;2014;1;02.03.2024;23 000 000
2;63008;2016;1;02.03.2024;26 500 000
2;63008;2015;1;02.03.2024;25 500 000
2;61501;2011;3;02.03.2024;21 000 000
3;58096;2012;1;02.03.2024;19 300 000
3;56546;2014;1;02.03.2024;18 500 000
3;55989;2009;3;02.03.2024;14 900 000
3;55621;2010;3;02.03.2024;16 100 000
3;35238;2012;1;02.03.2024;11 500 000
2;82298;2021;1;06.03.2024;37 500 000
3;57835;2014;1;06.03.2024;21 500 000
3;37064;2012;2;06.03.2024;16 700 000
1;169098;2009;2;08.03.2024;22 500 000
2;92018;2010;2;08.03.2024;20 450 000
2;82514;2021;3;08.03.2024;41 750 000
2;74979;2011;3;08.03.2024;20 300 000
3;55848;2012;3;08.03.2024;18 900 000
3;39685;2015;1;08.03.2024;20 500 000
3;39641;2015;1;08.03.2024;20 500 000
2;74483;2007;1;12.03.2024;12 300 000
3;57050;2010;1;12.03.2024;13 900 000
3;39260;2015;1;12.03.2024;18 500 000
3;39000;2015;1;12.03.2024;18 300 000
2;75700;2012;1;12.03.2024;16 800 000
3;35248;2012;1;12.03.2024;11 600 000
2;87378;2011;1;23.03.2024;17 000 000
2;83468;2011;3;23.03.2024;23 800 000
2;79474;2010;1;23.03.2024;14 250 000
2;79235;2013;1;23.03.2024;17 400 000
2;77171;2009;3;23.03.2024;17 500 000
3;57981;2013;1;23.03.2024;17 500 000
3;56956;2011;1;23.03.2024;13 200 000
3;56838;2010;1;23.03.2024;13 500 000
3;56716;2012;1;23.03.2024;14 700 000
3;56709;2012;1;23.03.2024;14 700 000
3;56615;2013;1;23.03.2024;17 500 000
3;55840;2007;3;23.03.2024;14 800 000
3;55474;2010;3;23.03.2024;17 500 000
3;54286;2009;1;23.03.2024;9 000 000
3;54043;2006;1;23.03.2024;10 100 000
3;37495;2010;1;23.03.2024;11 600 000
3;37334;2009;3;23.03.2024;15 000 000
3;36787;2011;2;23.03.2024;15 300 000
3;36228;2017;3;23.03.2024;24 000 000
3;39172;2019;3;30.03.2024;28 500 000
3;37268;2009;3;30.03.2024;15 000 000
3;35732;2011;1;30.03.2024;14 000 000
1;179655;2015;1;10.04.2024;42 200 000
1;174766;2007;1;30.04.2024;22 000 000
1;170895;2012;1;26.04.2024;30 000 000
2;119597;2009;3;10.04.2024;18 400 000
2;95711;2013;3;16.04.2024;26 100 000
2;92330;2009;3;10.04.2024;19 500 000
2;83007;2006;3;30.04.2024;15 000 000
2;82577;2021;3;30.04.2024;39 500 000
2;82212;2021;1;16.04.2024;35 800 000
2;82167;2012;3;10.04.2024;33 800 000
2;81842;2014;1;10.04.2024;29 000 000
2;81398;2011;2;26.04.2024;19 500 000
2;77171;2006;3;16.04.2024;12 000 000
2;75200;2011;1;30.04.2024;16 500 000
2;66721;2013;3;16.04.2024;25 000 000
2;66529;2018;3;10.04.2024;33 500 000
2;64276;2020;3;10.04.2024;36 300 000
2;63500;2017;3;26.04.2024;32 000 000
2;63253;2014;1;16.04.2024;20 000 000
2;61799;2012;3;26.04.2024;23 300 000
2;61453;2012;3;16.04.2024;22 000 000
2;61201;2022;1;10.04.2024;35 350 000
3;57631;2016;3;10.04.2024;28 100 000
3;56785;2009;1;30.04.2024;11 800 000
3;56637;2013;1;26.04.2024;15 000 000
3;56625;2013;1;26.04.2024;15 000 000
3;56621;2013;1;26.04.2024;15 000 000
3;56620;2013;1;26.04.2024;15 000 000
3;56606;2011;1;26.04.2024;15 000 000
3;56578;2013;1;10.04.2024;17 800 000
3;56039;2006;3;26.04.2024;13 000 000
3;55940;2008;3;10.04.2024;16 500 000
3;55765;2005;3;10.04.2024;11 000 000
3;55600;2011;3;26.04.2024;18 200 000
3;53857;2013;1;10.04.2024;14 100 000
3;53490;2005;3;10.04.2024;8 500 000
3;39172;2019;3;10.04.2024;28 500 000
3;38705;2019;1;16.04.2024;26 600 000
3;38593;2019;1;10.04.2024;28 500 000
3;37786;2015;3;30.04.2024;20 800 000
3;37500;2015;1;26.04.2024;18 800 000
3;37334;2009;3;10.04.2024;15 000 000
3;37155;2020;3;16.04.2024;29 500 000
3;37140;2020;3;10.04.2024;29 500 000
3;36371;2015;3;10.04.2024;20 000 000
3;35697;2011;2;10.04.2024;14 500 000
1;179700;2011;1;17.05.2024;34 000 000
1;179223;2009;2;16.05.2024;29 000 000
1;174100;2007;1;16.05.2024;21 750 000
2;82500;2010;1;16.05.2024;20 000 000
2;82500;2006;3;16.05.2024;15 000 000
2;81920;2016;3;16.05.2024;32 500 000
2;63000;2017;3;16.05.2024;32 850 000
2;61090;2015;3;17.05.2024;32 000 000
3;58912;2011;3;16.05.2024;19 430 000
3;58100;2009;1;16.05.2024;15 000 000
3;58100;2009;1;16.05.2024;15 000 000
3;57696;2016;1;16.05.2024;28 300 000
3;57679;2016;1;16.05.2024;28 300 000
3;56897;2012;1;16.05.2024;14 300 000
3;56732;2009;1;16.05.2024;11 500 000
3;53206;2008;3;16.05.2024;14 500 000
3;53200;2008;3;17.05.2024;14 500 000
1;179250;2011;2;05.06.2024;32 500 000
1;175397;2010;1;05.06.2024;28 000 000
2;95711;2008;3;05.06.2024;25 500 000
2;84990;2022;1;05.06.2024;39 000 000
2;82372;2008;3;05.06.2024;17 250 000
2;81577;2020;1;05.06.2024;33 000 000
2;76037;2012;1;05.06.2024;16 000 000
2;75000;2012;1;05.06.2024;17 500 000
2;75000;2012;1;05.06.2024;17 500 000
2;75000;2012;1;05.06.2024;17 500 000
2;62623;2017;3;05.06.2024;31 000 000
3;57000;2012;1;05.06.2024;14 100 000
3;56947;2011;1;05.06.2024;13 500 000
3;51725;2010;3;05.06.2024;15 500 000
3;48549;2007;3;05.06.2024;12 000 000
3;37114;2012;3;05.06.2024;17 700 000
2;63500;2015;1;14.06.2024;25 000 000
3;56600;2012;1;14.06.2024;16 000 000
3;56600;2011;1;14.06.2024;14 000 000
3;39000;2014;1;14.06.2024;21 000 000
2;78100;2012;3;21.06.2024;22 000 000
2;62600;2020;3;21.06.2024;38 300 000
2;62600;2018;3;21.06.2024;36 000 000
2;60900;2014;3;21.06.2024;30 500 000
3;55600;2010;3;21.06.2024;16 700 000
3;35000;2013;1;21.06.2024;15 600 000
1;178021;2008;1;16.07.2024;24 000 000
1;177000;2008;1;05.07.2024;24 000 000
1;173723;2009;1;16.07.2024;21 000 000
2;106600;2009;3;05.07.2024;18 500 000
2;95750;2013;3;16.07.2024;27 000 000
2;93478;2018;3;16.07.2024;36 000 000
2;82200;2024;1;05.07.2024;40 000 000
2;82200;2024;1;05.07.2024;40 000 000
2;81800;2018;1;05.07.2024;35 000 000
2;81703;2019;1;16.07.2024;37 000 000
2;76000;2005;3;16.07.2024;12 000 000
2;63331;2014;1;16.07.2024;24 000 000
2;61600;2010;3;05.07.2024;20 500 000
2;61500;2011;3;05.07.2024;20 500 000
